User,Agency,Route,Run,VehicleID,ForwardEnd,VehicleCount,VehiclePosition,DepartureStop,ArrivalStop,Date,DepartureTime,ArrivalTime,Notes0,Notes1,Notes2,Notes3,Notes4
Seanny,BART,,,4065,,,,,,,,,,,,,
Seanny,BART,,,4065,,,,,,,,,,,,,
Seanny,BART,,,4068,,,,,,,,,,,,,
Seanny,BART,,,4070,,,,,,,,,,,,,
Seanny,BART,,,4070,,,,,,,,,,,,,
Seanny,BART,,,4071,,,,,,,,,,,,,
Seanny,BART,,,4071,,,,,,,,,,,,,
Seanny,BART,,,4072,,,,,,,,,,,,,
Seanny,BART,,,4072,,,,,,,,,,,,,
Seanny,BART,,,4073,,,,,,,,,,,,,
Seanny,BART,,,4073,,,,,,,,,,,,,
Seanny,BART,,,4074,,,,,,,,,,,,,
Seanny,BART,,,4076,,,,,,,,,,,,,
Seanny,BART,,,4076,,,,,,,,,,,,,
Seanny,BART,,,4078,,,,,,,,,,,,,
Seanny,BART,,,4079,,,,,,,,,,,,,
Seanny,BART,,,4080,,,,,,,,,,,,,
Seanny,BART,,,4081,,,,,,,,,,,,,
Seanny,BART,,,4086,,,,,,,,,,,,,
Seanny,BART,,,4086,,,,,,,,,,,,,
Seanny,BART,,,4088,,,,,,,,,,,,,
Seanny,BART,,,4093,,,,,,,,,,,,,
Seanny,BART,,,4094,,,,,,,,,,,,,
Seanny,BART,,,4094,,,,,,,,,,,,,
Seanny,BART,,,4096,,,,,,,,,,,,,
Seanny,BART,,,4096,,,,,,,,,,,,,
Seanny,BART,,,4096,,,,,,,,,,,,,
Seanny,BART,,,4096,,,,,,,,,,,,,
Seanny,BART,,,4099,,,,,,,,,,,,,
Seanny,BART,,,4099,,,,,,,,,,,,,
Seanny,BART,,,4104,,,,,,,,,,,,,
Seanny,BART,,,4105,,,,,,,,,,,,,
Seanny,BART,,,4106,,,,,,,,,,,,,
Seanny,BART,,,4106,,,,,,,,,,,,,
Seanny,BART,,,4107,,,,,,,,,,,,,
Seanny,BART,,,4109,,,,,,,,,,,,,
Seanny,BART,,,4109,,,,,,,,,,,,,
Seanny,BART,,,4111,,,,,,,,,,,,,
Seanny,BART,,,4111,,,,,,,,,,,,,
Seanny,BART,,,4111,,,,,,,,,,,,,
Seanny,BART,,,4112,,,,,,,,,,,,,
Seanny,BART,,,4113,,,,,,,,,,,,,
Seanny,BART,,,4115,,,,,,,,,,,,,
Seanny,BART,,,4118,,,,,,,,,,,,,
Seanny,BART,,,4119,,,,,,,,,,,,,
Seanny,BART,,,4119,,,,,,,,,,,,,
Seanny,BART,,,4120,,,,,,,,,,,,,
Seanny,BART,,,4122,,,,,,,,,,,,,
Seanny,BART,,,4125,,,,,,,,,,,,,
Seanny,BART,,,4126,,,,,,,,,,,,,
Seanny,BART,,,4126,,,,,,,,,,,,,
Seanny,BART,,,4126,,,,,,,,,,,,,
Seanny,BART,,,4126,,,,,,,,,,,,,
Seanny,BART,,,4132,,,,,,,,,,,,,
Seanny,BART,,,4132,,,,,,,,,,,,,
Seanny,BART,,,4132,,,,,,,,,,,,,
Seanny,BART,,,4133,,,,,,,,,,,,,
Seanny,BART,,,4133,,,,,,,,,,,,,
Seanny,BART,,,4133,,,,,,,,,,,,,
Seanny,BART,,,4133,,,,,,,,,,,,,
Seanny,BART,,,4133,,,,,,,,,,,,,
Seanny,BART,,,4134,,,,,,,,,,,,,
Seanny,BART,,,4135,,,,,,,,,,,,,
Seanny,BART,,,4135,,,,,,,,,,,,,
Seanny,BART,,,4135,,,,,,,,,,,,,
Seanny,BART,,,4135,,,,,,,,,,,,,
Seanny,BART,,,4137,,,,,,,,,,,,,
Seanny,BART,,,4137,,,,,,,,,,,,,
Seanny,BART,,,4137,,,,,,,,,,,,,
Seanny,BART,,,4137,,,,,,,,,,,,,
Seanny,BART,,,4137,,,,,,,,,,,,,
Seanny,BART,,,4140,,,,,,,,,,,,,
Seanny,BART,,,4141,,,,,,,,,,,,,
Seanny,BART,,,4141,,,,,,,,,,,,,
